Tag	p.value	HR	Low 95%CI	High 95%CI
LAPTM4B	3.23284484820846e-05	1.50860868085949	1.2427062074588	1.83140644048008
SNCG	0.276430687098381	1.08678544249535	0.93552474564675	1.26250278628738
MSC	0.000146858561521336	1.35946983231271	1.16014848053846	1.59303593977089
LY96	0.0427108469870653	1.19735374002055	1.00593349728888	1.42519956100983
SEL1L3	0.0703550646927612	1.16950929924295	0.987074971091774	1.38566171878809
PTP4A3	0.0539127818730605	1.18218844942979	0.997188308344676	1.40151014434292
CLDN4	0.0227909178542314	1.21851079252688	1.02789280483436	1.44447800833059
CTHRC1	0.000842129173395427	1.32696337609224	1.12391215920532	1.5666987736258
S100A9	1.77991541374437e-06	1.47654141809303	1.25835888839553	1.73255386793826
CCL20	0.00659964427550819	1.27776001859832	1.07063859452417	1.52495031794926
EPS8L3	0.000402770751514967	1.38669463860264	1.15699851398577	1.66199178087533
UCHL1	0.00294206698858714	1.24586335504056	1.07782062256027	1.44010558616505
LGALS3	0.00110378035327042	1.33894542862309	1.12360270895024	1.59555939706272
SOX9	0.0254761803221062	1.2313602381449	1.0258666403836	1.47801670938174
PTGES	0.0128736596453918	1.23256114063115	1.04532385137819	1.45333617269995
S100A11	0.000478273458803286	1.34812899603913	1.14006615019341	1.59416345240418
TGM3	0.200599295800212	1.11985637788722	0.941618190383778	1.33183313566144
SLC39A4	0.113142676440988	1.14637713958689	0.968119459793823	1.35745700891839
MMP7	0.00700026817937063	1.25050685542956	1.06298532684608	1.47110910751336
CAPG	0.000876305622443893	1.33880214084727	1.12739939029436	1.58984578825189
CYP4A22	0.0947526433889395	0.863425638188282	0.726798997818216	1.02573591174283
MMP9	0.00813544706465241	1.25128858222363	1.0598708558012	1.47727726206758
TMEM92	0.0566396494799964	1.17432045920113	0.995467799541745	1.38530703005478
CXCL1	0.00467020479365077	1.25583832058715	1.07248174648485	1.47054240561608
SPINT1	0.720895261389356	1.03153902122142	0.869966456563753	1.22311928727159
LGALS3BP	0.06550320116512	1.18612447393977	0.989109546514935	1.42238164886387
S100A6	0.00960667336973195	1.24572957440105	1.05488092136726	1.47110649278408
FNDC5	0.221020710191542	0.897634166166524	0.755070158864184	1.06711553464319
TSPAN8	0.826367085516304	0.980081321877122	0.818824731579704	1.17309524303115
UBD	0.370161283868314	1.08238176398687	0.910309243682407	1.28698054110945
CXCL8	0.000396267186230231	1.34162893514171	1.1402975541618	1.57850746328452
B3GNT3	0.303818389231947	1.09820510902802	0.91862504105476	1.31289090498823
CYP8B1	0.0163933434116542	0.818789189880538	0.695448687642659	0.964004605052481
GCGR	0.147581445369527	0.880984591832978	0.742139975392075	1.0458052076188
TIMP1	0.22030325389646	1.1168960625012	0.935920616927838	1.33286604853888
VNN2	0.000572603328401671	1.34709729173526	1.13701031648863	1.59600232916498
TESC	0.0969740781994803	1.15266590831261	0.974624010081883	1.36323205917585
RTP3	0.00108319514404124	0.75781226809513	0.641695350776326	0.894940929493598
AKR1C2	0.296617178015672	1.10543923966456	0.915760553266022	1.33440549304287
LY6E	0.449236354505106	1.07047078573435	0.897367963201817	1.27696524736865
LCN2	0.708899206282049	1.03301530931587	0.871059758380682	1.2250831461492
GYS2	0.00314302783661896	0.781141274074624	0.663042785442751	0.92027498595807
TTC36	0.00621980669844762	0.785993465865727	0.661454703061852	0.933980400356831
TRNP1	1.02940746700418e-05	1.50098944258655	1.25315575428816	1.79783662090435
BHMT	0.0120643384160412	0.804674680480747	0.679094744432022	0.953477179312214
KRT23	0.128808101916178	1.1438866042471	0.961706393584132	1.36057800187797
MOGAT2	0.0189655753439302	0.817123821189725	0.69026412181996	0.967298339938707
SLC27A5	0.00167530251424487	0.765695434528557	0.64824856591231	0.904420818321077
SPINK1	0.0353731733133589	1.20861487142884	1.01306073990055	1.44191739932826
SLC22A1	0.000642638094837185	0.739106274514333	0.621310701000097	0.879234953055108
G6PC	0.000451794733041749	0.766272848439847	0.660364449523941	0.889166699811616
ADH4	1.48842123421766e-05	0.704268764687295	0.600929995432988	0.825378158327394
SPP2	0.000181642618767757	0.73442368753353	0.624822623882226	0.863250036400758
AGR2	0.00669191118956249	1.23122462770135	1.05936506061655	1.43096477334835
LYZ	0.753574634221849	1.02761745143486	0.866889481409897	1.21814562194944
CYP2A7	0.226083140169132	0.897012250239302	0.752269022357555	1.06960535814398
LECT2	0.000422064444776292	0.748093724301349	0.636635612230442	0.879065213424613
SLC10A1	0.000366850954899731	0.738186899489777	0.624659194576322	0.872347518950592
GLYAT	0.0388027968407057	0.835455494044783	0.704471816331244	0.990793196191428
CPS1	0.000723490858218575	0.763655398161906	0.653135761237576	0.892876491767678
TAT	0.00132030902887942	0.758424198144435	0.640654343663036	0.897843384690402
SLC22A7	0.0014779144136155	0.766432037001498	0.650500024468275	0.903025434660708
HAO2	0.0910763357718693	0.862076179903295	0.72574497572068	1.02401720276281
AKR1D1	0.00662817602118229	0.789394161877844	0.665501990981284	0.936350531255358
CYP2A6	0.071737393185664	0.848366034919141	0.709338529542532	1.0146423734639
CD24	0.00671502161240359	1.30463740345197	1.07642526632838	1.58123262963863
MUC13	0.411542541189721	1.07296826177566	0.906950048045457	1.26937629394136
HSD17B13	0.00609395531911882	0.782148246120049	0.656193277760474	0.932280015114654
CYP7A1	0.00455551904283595	0.775553141417226	0.65064769552574	0.924436802432867
ALDH3A1	0.601925989301354	1.04803884730264	0.878642412490121	1.25009379224315
GPC3	0.252173516847436	1.10400752719785	0.932008337651607	1.30774862291536
CYP3A4	0.0230963741242286	0.809857038166363	0.675134373324317	0.971463531086622
CRP	0.393968534360733	1.07845705597776	0.906528464746104	1.28299294155531
