ID	description	GeneRatio	BgRatio	pValue	FDR	qvalue	geneID	size	DB	enrichmentRatio
GO:1990748	GO:1990748	cellular detoxification	5/94	107/17913	0.000249177319489181	0.0298827842518882	0.0272002103181348	NQO1/TXNRD1/AKR1B10/GPX2/S100A9	5	geneontology_Biological_Process	0.0531914893617021
GO:1901616	GO:1901616	organic hydroxy compound catabolic process	4/94	59/17913	0.000259504715963496	0.0298827842518882	0.0272002103181348	AKR1B10/ADH4/AKR1D1/CYP7A1	4	geneontology_Biological_Process	0.0425531914893617
GO:0097237	GO:0097237	cellular response to toxic substance	7/94	241/17913	0.00027707659858684	0.0298827842518882	0.0272002103181348	NQO1/TXNRD1/AKR1B10/GPX2/S100A9/LCN2/CPS1	7	geneontology_Biological_Process	0.074468085106383
GO:0009991	GO:0009991	response to extracellular stimulus	10/94	498/17913	0.000281937675750445	0.0298827842518882	0.0272002103181348	NQO1/SPP1/G6PD/SLC39A4/MMP7/GCGR/LCN2/G6PC/CPS1/ALDH3A1	10	geneontology_Biological_Process	0.106382978723404
GO:1901615	GO:1901615	organic hydroxy compound metabolic process	10/94	500/17913	0.000291066080375535	0.0298827842518882	0.0272002103181348	AKR1B10/G6PD/CYP8B1/AKR1C2/MOGAT2/SLC27A5/ADH4/AKR1D1/CYP7A1/CYP3A4	10	geneontology_Biological_Process	0.106382978723404
GO:0098754	GO:0098754	detoxification	5/94	113/17913	0.000320975026852165	0.0308123435806256	0.0280463232181817	NQO1/TXNRD1/AKR1B10/GPX2/S100A9	5	geneontology_Biological_Process	0.0531914893617021
GO:1901661	GO:1901661	quinone metabolic process	3/94	27/17913	0.0003735892528703	0.0308123435806256	0.0280463232181817	AKR1B10/AKR1C2/ADH4	3	geneontology_Biological_Process	0.0319148936170213
GO:0030858	GO:0030858	positive regulation of epithelial cell differentiation	4/94	65/17913	0.000376883860528409	0.0308123435806256	0.0280463232181817	TRIM16/SFN/SOX9/CD24	4	geneontology_Biological_Process	0.0425531914893617
GO:0046394	GO:0046394	carboxylic acid biosynthetic process	9/94	426/17913	0.000399126107370303	0.0308123435806256	0.0280463232181817	UGDH/PTGES/CYP8B1/BHMT/SLC27A5/CPS1/AKR1D1/CYP7A1/CYP3A4	9	geneontology_Biological_Process	0.0957446808510638
GO:0016053	GO:0016053	organic acid biosynthetic process	9/94	427/17913	0.000405978318402329	0.0308123435806256	0.0280463232181817	UGDH/PTGES/CYP8B1/BHMT/SLC27A5/CPS1/AKR1D1/CYP7A1/CYP3A4	9	geneontology_Biological_Process	0.0957446808510638
GO:0006066	GO:0006066	alcohol metabolic process	8/94	339/17913	0.000410389852042662	0.0308123435806256	0.0280463232181817	AKR1B10/G6PD/AKR1C2/MOGAT2/ADH4/AKR1D1/CYP7A1/CYP3A4	8	geneontology_Biological_Process	0.0851063829787234
GO:0008209	GO:0008209	androgen metabolic process	3/94	28/17913	0.000416833652335303	0.0308123435806256	0.0280463232181817	SPP1/AKR1D1/CYP3A4	3	geneontology_Biological_Process	0.0319148936170213
GO:0006739	GO:0006739	NADP metabolic process	3/94	30/17913	0.000512680440899757	0.0343047397109231	0.0312252073695917	TKT/G6PD/ME1	3	geneontology_Biological_Process	0.0319148936170213
GO:0005977	GO:0005977	glycogen metabolic process	4/94	71/17913	0.000528061309388403	0.0343047397109231	0.0312252073695917	PHLDA2/GCGR/GYS2/G6PC	4	geneontology_Biological_Process	0.0425531914893617
GO:0006073	GO:0006073	cellular glucan metabolic process	4/94	72/17913	0.000556895125177323	0.0343047397109231	0.0312252073695917	PHLDA2/GCGR/GYS2/G6PC	4	geneontology_Biological_Process	0.0425531914893617
GO:0006081	GO:0006081	cellular aldehyde metabolic process	4/94	72/17913	0.000556895125177323	0.0343047397109231	0.0312252073695917	TKT/G6PD/ADH4/ALDH3A1	4	geneontology_Biological_Process	0.0425531914893617
GO:0044042	GO:0044042	glucan metabolic process	4/94	72/17913	0.000556895125177323	0.0343047397109231	0.0312252073695917	PHLDA2/GCGR/GYS2/G6PC	4	geneontology_Biological_Process	0.0425531914893617
GO:0032094	GO:0032094	response to food	3/94	33/17913	0.000681162200688141	0.0406060563506995	0.0369608555755399	G6PD/G6PC/CPS1	3	geneontology_Biological_Process	0.0319148936170213
GO:0010951	GO:0010951	negative regulation of endopeptidase activity	6/94	210/17913	0.000835348776647237	0.048241391851378	0.0439107679303383	SFN/MMP9/SPINT1/TIMP1/SPINK1/SPP2	6	geneontology_Biological_Process	0.0638297872340425
GO:0031012	GO:0031012	extracellular matrix	11/98	468/18678	3.4235355873004e-05	0.00244611588665526	0.0022819108176803	TINAG/CTHRC1/S100A9/LGALS3/MMP7/MMP9/LGALS3BP/S100A6/TIMP1/SPP2/GPC3	11	geneontology_Cellular_Component	0.112244897959184
GO:0062023	GO:0062023	collagen-containing extracellular matrix	10/98	399/18678	4.65084350177013e-05	0.00244611588665526	0.0022819108176803	TINAG/CTHRC1/S100A9/LGALS3/MMP9/LGALS3BP/S100A6/TIMP1/SPP2/GPC3	10	geneontology_Cellular_Component	0.102040816326531
GO:0034774	GO:0034774	secretory granule lumen	9/98	321/18678	4.81335772763991e-05	0.00244611588665526	0.0022819108176803	S100P/S100A9/S100A11/CXCL1/LGALS3BP/TIMP1/LCN2/SPP2/LYZ	9	geneontology_Cellular_Component	0.0918367346938776
GO:0060205	GO:0060205	cytoplasmic vesicle lumen	9/98	338/18678	7.1599732188426e-05	0.00244611588665526	0.0022819108176803	S100P/S100A9/S100A11/CXCL1/LGALS3BP/TIMP1/LCN2/SPP2/LYZ	9	geneontology_Cellular_Component	0.0918367346938776
GO:0031983	GO:0031983	vesicle lumen	9/98	339/18678	7.3237002594469e-05	0.00244611588665526	0.0022819108176803	S100P/S100A9/S100A11/CXCL1/LGALS3BP/TIMP1/LCN2/SPP2/LYZ	9	geneontology_Cellular_Component	0.0918367346938776
GO:0016323	GO:0016323	basolateral plasma membrane	6/98	201/18678	0.000667328107456668	0.0185739656575439	0.0173271157725591	MPZ/CLDN4/SLC27A5/SLC22A1/SLC10A1/SLC22A7	6	geneontology_Cellular_Component	0.0612244897959184
GO:0016614	GO:0016614	oxidoreductase activity, acting on CH-OH group of donors	11/93	120/16969	5.19486556105323e-11	1.50651101270544e-08	1.22489461650097e-08	UGDH/AKR1B10/G6PD/AKR1B15/ME1/CYP4A22/AKR1C2/ADH4/HAO2/AKR1D1/ALDH3A1	11	geneontology_Molecular_Function	0.118279569892473
GO:0016616	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	10/93	108/16969	3.71336536506643e-10	5.38437977934632e-08	4.37786232513095e-08	UGDH/AKR1B10/G6PD/AKR1B15/ME1/CYP4A22/AKR1C2/ADH4/AKR1D1/ALDH3A1	10	geneontology_Molecular_Function	0.10752688172043
GO:0004033	GO:0004033	aldo-keto reductase (NADP) activity	5/93	23/16969	1.38053200927563e-07	1.33451427563311e-05	1.08504971957102e-05	AKR1B10/AKR1C2/ADH4/AKR1D1/ALDH3A1	5	geneontology_Molecular_Function	0.0537634408602151
GO:0048037	GO:0048037	cofactor binding	13/93	438/16969	7.51829541673804e-07	5.45076417713508e-05	4.43183729828769e-05	TKT/TXNRD1/UGDH/G6PD/ME1/PTGES/CYP4A22/LCN2/ADH4/TAT/CYP2A6/CYP7A1/CYP3A4	13	geneontology_Molecular_Function	0.139784946236559
GO:0008106	GO:0008106	alcohol dehydrogenase (NADP+) activity	4/93	15/16969	1.10188692099444e-06	6.39094414176775e-05	5.19626674321588e-05	AKR1B10/AKR1C2/ADH4/ALDH3A1	4	geneontology_Molecular_Function	0.043010752688172
GO:0004497	GO:0004497	monooxygenase activity	6/93	86/16969	7.60854556644549e-06	0.000367746369044865	0.000299002492435752	CYP4A22/AKR1C2/CYP2A7/CYP2A6/CYP7A1/CYP3A4	6	geneontology_Molecular_Function	0.0645161290322581
GO:0005506	GO:0005506	iron ion binding	7/93	144/16969	1.41101459169061e-05	0.000584563187986111	0.000475289125622101	CYP4A22/CYP8B1/LCN2/CYP2A7/CYP2A6/CYP7A1/CYP3A4	7	geneontology_Molecular_Function	0.0752688172043011
GO:0016705	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	6/93	137/16969	0.000106349710786481	0.00385517701600993	0.00313451779160154	CYP4A22/AKR1C2/CYP2A7/CYP2A6/CYP7A1/CYP3A4	6	geneontology_Molecular_Function	0.0645161290322581
GO:0019825	GO:0019825	oxygen binding	3/93	27/16969	0.000423741209762704	0.0136538834256871	0.0111015240920287	CYP8B1/CYP2A7/CYP3A4	3	geneontology_Molecular_Function	0.032258064516129
GO:0004857	GO:0004857	enzyme inhibitor activity	8/93	332/16969	0.000474530362606736	0.0137613805155953	0.011188926444622	SFN/LGALS3/SPINT1/TIMP1/TESC/SPINK1/SPP2/GPC3	8	geneontology_Molecular_Function	0.0860215053763441
GO:0016709	GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	3/93	33/16969	0.000771832136763574	0.0203483017874033	0.0165445357545493	CYP4A22/AKR1C2/CYP7A1	3	geneontology_Molecular_Function	0.032258064516129
GO:0016620	GO:0016620	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	3/93	34/16969	0.000843180209373364	0.0203768550598563	0.016567751482424	AKR1B10/ADH4/ALDH3A1	3	geneontology_Molecular_Function	0.032258064516129
GO:0016903	GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors	3/93	39/16969	0.00126251068325035	0.0269177633700617	0.0218859491647689	AKR1B10/ADH4/ALDH3A1	3	geneontology_Molecular_Function	0.032258064516129
GO:0035325	GO:0035325	Toll-like receptor binding	2/93	10/16969	0.00129947823165815	0.0269177633700617	0.0218859491647689	LY96/S100A9	2	geneontology_Molecular_Function	0.021505376344086
GO:0050786	GO:0050786	RAGE receptor binding	2/93	11/16969	0.00158259071031976	0.0305967537328487	0.0248772153762545	S100P/S100A9	2	geneontology_Molecular_Function	0.021505376344086
GO:0030414	GO:0030414	peptidase inhibitor activity	5/93	157/16969	0.00171817009846795	0.0311418330347317	0.0253204014511067	SPINT1/TIMP1/SPINK1/SPP2/GPC3	5	geneontology_Molecular_Function	0.0537634408602151
GO:0044548	GO:0044548	S100 protein binding	2/93	14/16969	0.00259059434178796	0.0417685814909668	0.0339606615389349	S100A11/S100A6	2	geneontology_Molecular_Function	0.021505376344086
GO:0051287	GO:0051287	NAD binding	3/93	50/16969	0.0025925326442669	0.0417685814909668	0.0339606615389349	UGDH/ME1/ADH4	3	geneontology_Molecular_Function	0.032258064516129
GO:0020037	GO:0020037	heme binding	4/93	106/16969	0.00274277113883187	0.041863348961118	0.0340377138558636	CYP4A22/CYP2A6/CYP7A1/CYP3A4	4	geneontology_Molecular_Function	0.043010752688172
GO:0050662	GO:0050662	coenzyme binding	6/93	257/16969	0.00289255642412036	0.0419420681497452	0.034101717842261	TXNRD1/UGDH/G6PD/ME1/ADH4/TAT	6	geneontology_Molecular_Function	0.0645161290322581
